brand,animal_type,product_count,avg_price,avg_rating,total_rating_number,total_review_count,demand_proxy
#1 All Systems,Dogs,1,11.89,4.1,18,1,18
123 Treats,Dogs,3,37.656666666666666,4.2,1046,3,1046
2 Hounds,Dogs,1,14.9,4.5,877,1,877
2 Hounds Design,Dogs,3,41.300000000000004,4.466666666666667,18746,5,18746
360 Pet Nutrition,Dogs,1,16.95,4.5,871,1,871
4Knines,Dogs,1,109.99,4.6,896,1,896
4Legger,Dogs,1,16.98,4.5,3953,4,3953
4LegsFriend,Dogs,1,,4.4,150,1,150
5Strands,Horses,1,194.0,4.0,7,1,7
9Lives,Cats,3,15.294999999999998,4.533333333333333,12878,12,12878
A ANJOJOA,Reptiles & Amphibians,1,31.69,4.0,33,1,33
A Freschi srl,Dogs,2,13.99,4.35,10109,18,10109
A LAZY DOG,Dogs,1,12.99,4.0,23,1,23
A.FATI,Dogs,1,79.99,4.0,38,1,38
A4Pet,Cats,1,27.99,4.6,1244,1,1244
ABO Gear,Dogs,1,,3.8,86,1,86
ACANA,Dogs,1,20.99,4.6,5988,1,5988
ACARAPETS,Dogs,1,,4.1,12,1,12
ACKERPET,Dogs,1,19.99,4.4,102,1,102
ADITYNA,Dogs,4,25.97,4.675,3863,6,3863
ADOGGYGO,Cats,1,9.99,4.7,3209,1,3209
ADOGGYGO,Dogs,1,,4.6,582,1,582
ADVENTUREMORE,Dogs,1,19.99,4.2,1160,2,1160
AGYM,Cats,1,,3.9,15,1,15
AHJDL,Dogs,2,24.99,4.550000000000001,1892,4,1892
AIBORS,Dogs,1,49.99,4.1,3203,1,3203
AIIYME,Dogs,1,99.99,4.5,1747,3,1747
AIPERRO,Dogs,1,25.99,4.4,1668,1,1668
ALAZCO,Cats,1,,3.2,67,1,67
ALBCORP,Dogs,2,15.7,4.6,13288,6,13288
ALL FOR PAWS,Cats,1,24.99,4.2,5121,1,5121
ALL FOR PAWS,Dogs,1,15.99,4.0,211,1,211
ALPHA PET ZONE,Dogs,1,19.97,4.4,874,1,874
AMAGOOD,Dogs,1,6.94,4.5,10692,2,10692
AMCHSURI,Dogs,1,,4.3,181,1,181
AMENER,Dogs,1,,4.9,10,1,10
AMOFY,Dogs,1,31.99,4.5,1326,2,1326
AMZNOVA,Cats,1,13.99,4.5,8103,3,8103
AMZNOVA,Dogs,1,,4.1,31,1,31
AMZSEA,Dogs,1,22.99,3.2,107,1,107
ANEMAUX,Dogs,1,7.29,4.6,79,1,79
ANOSOSPECIAL,Dogs,1,26.87,4.6,445,1,445
ANWA,Dogs,1,29.98,4.6,3370,3,3370
AOFITEE,Dogs,1,26.89,4.5,687,1,687
AOKLANT,Dogs,2,9.99,4.4,634,6,634
AOKLANT,Cats,1,,4.4,356,3,356
AOTYPE,Dogs,1,9.99,3.9,28,1,28
API,Fish & Aquatic Pets,16,18.432666666666666,4.5625,121398,54,121398
APPARELYN,Dogs,1,18.99,4.3,190,1,190
AQUANEAT,Fish & Aquatic Pets,1,7.99,4.7,56,1,56
AQUATICBLENDEDFOODS,Fish & Aquatic Pets,1,14.99,4.5,1576,1,1576
ARCA PET,Dogs,1,12.99,4.6,186,1,186
ARK NATURALS,Dogs,2,23.49,4.4,17105,9,17105
ARK NATURALS,Cats,1,10.59,4.5,1078,1,1078
ARRR,Dogs,1,,4.7,22,1,22
ARTERO,Dogs,1,,4.7,2596,1,2596
ASENKU,Dogs,3,17.323333333333334,4.433333333333334,3628,3,3628
ASENKU,Cats,2,,4.6,94,2,94
ASPCA,Cats,1,21.99,4.7,9248,3,9248
ASPCA,Dogs,1,,3.5,205,1,205
ASPEN/BOODA CORPORATION,Dogs,1,,4.1,32,1,32
