brand,product_type,product_count,avg_price,avg_rating,total_rating_number,total_review_count,demand_proxy
#1 All Systems,Grooming,1,11.89,4.1,18,1,18
123 Treats,Treats,3,37.656666666666666,4.2,1046,3,1046
2 Hounds,"Collars, Harnesses & Leashes",1,14.9,4.5,877,1,877
2 Hounds Design,"Collars, Harnesses & Leashes",3,41.300000000000004,4.466666666666667,18746,5,18746
360 Pet Nutrition,Treats,1,16.95,4.5,871,1,871
4Knines,Carriers & Travel Products,1,109.99,4.6,896,1,896
4Legger,Grooming,1,16.98,4.5,3953,4,3953
4LegsFriend,Toys,1,,4.4,150,1,150
5Strands,Health Supplies,1,194.0,4.0,7,1,7
9Lives,Food,3,15.294999999999998,4.533333333333333,12878,12,12878
A ANJOJOA,Terrarium Heat Lamps & Mats,1,31.69,4.0,33,1,33
A Freschi srl,Treats,2,13.99,4.35,10109,18,10109
A LAZY DOG,Treats,1,12.99,4.0,23,1,23
A.FATI,Training & Behavior Aids,1,79.99,4.0,38,1,38
A4Pet,Carriers & Strollers,1,27.99,4.6,1244,1,1244
ACANA,Food,1,20.99,4.6,5988,1,5988
ACARAPETS,"Collars, Harnesses & Leashes",1,,4.1,12,1,12
ACKERPET,Apparel & Accessories,1,19.99,4.4,102,1,102
ADITYNA,Training & Behavior Aids,3,26.97,4.733333333333333,1458,5,1458
ADITYNA,"Collars, Harnesses & Leashes",1,22.97,4.5,2405,1,2405
ADOGGYGO,"Collars, Harnesses & Leashes",1,9.99,4.7,3209,1,3209
ADOGGYGO,Toys,1,,4.6,582,1,582
ADVENTUREMORE,"Collars, Harnesses & Leashes",1,19.99,4.2,1160,2,1160
AGYM,Beds & Furniture,1,,3.9,15,1,15
AHJDL,"Collars, Harnesses & Leashes",1,,4.4,1403,3,1403
AHJDL,Training & Behavior Aids,1,24.99,4.7,489,1,489
AIBORS,Grooming,1,49.99,4.1,3203,1,3203
AIIYME,Grooming,1,99.99,4.5,1747,3,1747
AIPERRO,Beds & Furniture,1,25.99,4.4,1668,1,1668
ALAZCO,Grooming,1,,3.2,67,1,67
ALBCORP,"Collars, Harnesses & Leashes",2,15.7,4.6,13288,6,13288
ALL FOR PAWS,Toys,2,20.49,4.1,5332,2,5332
ALPHA PET ZONE,Health Supplies,1,19.97,4.4,874,1,874
AMAGOOD,Training & Behavior Aids,1,6.94,4.5,10692,2,10692
AMCHSURI,Toys,1,,4.3,181,1,181
AMENER,Feeding & Watering Supplies,1,,4.9,10,1,10
AMOFY,Beds & Furniture,1,31.99,4.5,1326,2,1326
