brand,product_count,avg_price,median_price,avg_rating,total_rating_number,total_review_count,avg_review_rating,avg_verified_purchase_ratio,animal_types_count,product_types_count,demand_proxy,brand_strength_score
Amazon Basics,28,37.8736,34.09,4.464285714285714,795789,233,4.33160749091586,0.649561965590084,3,7,795789,60.65665451305654
PetSafe,63,62.19488888888889,33.95,4.192063492063492,519593,224,4.082092466616277,0.7972694633408919,2,11,519593,55.17092185115454
MidWest Homes for Pets,25,56.756400000000006,44.62,4.4639999999999995,360173,225,4.3249487677709775,0.7878964992389651,3,7,360173,57.1139450405177
Furhaven,21,57.41857142857143,36.99,4.366666666666667,356245,118,4.139075104789391,0.9603174603174603,2,2,356245,55.820745283285476
Chuckit!,17,11.526875,10.45,4.476470588235294,316634,118,4.6492709904474605,0.930115635997989,1,1,316634,56.69676048294236
Best Pet Supplies,22,30.16625,15.99,4.468181818181818,311576,104,3.96155303030303,0.9820075757575758,3,6,311576,56.519827033880695
Earth Rated,4,9.3675,8.99,4.775,276873,53,4.37719298245614,0.9077067669172932,1,2,276873,59.837042533376035
KONG,31,18.004545454545454,15.99,4.312903225806451,242324,155,3.6978366615463387,0.9445852534562212,3,3,242324,53.47152548743677
Nylabone,21,13.083076923076922,10.49,4.376190476190477,233744,387,4.382123186035111,0.8479464609912551,2,2,233744,54.098405647464055
Blue Buffalo,38,33.40103448275862,28.98,4.565789473684211,232231,172,4.321184090609298,0.776566565936372,2,2,232231,56.412576005139364
GoTags,10,11.93888888888889,9.45,4.5600000000000005,182651,70,4.366904761904761,0.9642857142857142,2,1,182651,55.245941198228564
rabbitgoo,5,28.788,24.98,4.5200000000000005,181085,28,4.752173913043478,0.5913043478260869,2,2,181085,54.72240755658265
Outward Hound,22,13.563333333333333,9.99,4.218181818181818,174666,177,3.8083893379347926,0.6730645617009253,1,6,174666,50.916139768418276
Petmate,19,36.40692307692308,37.95,4.268421052631578,157803,113,4.185486443381181,0.9781499202551834,2,7,157803,51.08919698886235
Friskies,9,28.14,21.534999999999997,4.666666666666667,145960,119,4.776817268290136,0.9315162825498743,1,2,145960,55.491775461355445
BEDSURE,9,43.66222222222222,34.99,4.544444444444444,138912,28,4.726851851851851,0.9444444444444444,2,1,138912,53.81350749780101
