animal_type,product_type,product_count,brand_count,avg_price,avg_rating,total_rating_number,competition_score,demand_per_brand,competition_rank
Dogs,"Collars, Harnesses & Leashes",695,396,19.72154639175258,4.365323741007194,3367629,26.34779659975284,8504.113636363636,1.0
Dogs,Apparel & Accessories,433,244,18.313921052631578,4.270438799076212,996827,17.665371293588592,4085.3565573770493,2.0
Dogs,Treats,458,221,26.131883116883117,4.409170305676856,1382541,15.630045295891888,6255.841628959276,3.0
Dogs,Toys,356,190,15.263070866141732,4.255056179775281,2089485,13.05623991913936,10997.28947368421,4.0
Dogs,Beds & Furniture,228,152,41.24433155080214,4.331140350877193,1258619,10.821951077632997,8280.388157894737,5.0
Cats,Beds & Furniture,198,134,43.48020134228188,4.357070707070707,720640,9.934833149455638,5377.910447761194,6.0
Dogs,Health Supplies,180,134,30.44,4.275555555555556,811332,9.848282176472472,6054.7164179104475,7.0
Dogs,Feeding & Watering Supplies,169,129,24.776029411764707,4.431952662721893,648783,9.639198723877128,5029.325581395349,8.0
Dogs,Grooming,162,121,31.955315315315314,4.367901234567902,892236,8.831158207134482,7373.851239669421,9.0
Dogs,Training & Behavior Aids,107,92,30.016808510638295,4.288785046728972,533700,6.976255159007498,5801.086956521739,10.0
Dogs,Carriers & Travel Products,108,83,49.04554347826087,4.299074074074074,476345,6.348526570051815,5739.096385542169,11.0
Dogs,Food,244,84,43.165035460992904,4.466393442622951,764237,6.200802108051872,9098.059523809523,12.0
Dogs,Litter & Housebreaking,122,85,22.89178947368421,4.39016393442623,1363792,6.01736668105808,16044.611764705882,13.0
Cats,Toys,98,76,13.93820895522388,4.171428571428572,350472,5.952829023201882,4611.473684210527,14.0
Cats,Litter & Housebreaking,114,79,36.364430379746835,4.36140350877193,620086,5.92309791419371,7849.189873417721,15.0
Cats,Feeding & Watering Supplies,87,74,23.52173913043478,4.363218390804598,320625,5.836868694684237,4332.77027027027,16.0
Cats,Food,175,60,32.769072164948454,4.424571428571428,730908,4.443771544205793,12181.8,17.0
Dogs,"Crates, Houses & Pens",67,52,76.92314814814816,4.308955223880597,509513,3.957016871003757,9798.326923076924,18.0
Cats,"Collars, Harnesses & Leashes",54,47,13.123469387755101,4.359259259259259,181406,3.8815713087811337,3859.7021276595747,19.0
Cats,Health Supplies,59,47,20.25829268292683,4.154237288135593,228500,3.8089693700225653,4861.702127659574,20.0
Cats,Treats,67,42,14.85897435897436,4.455223880597015,259604,3.368916437280569,6181.047619047619,21.0
Cats,Grooming,38,33,26.886666666666663,4.1947368421052635,165901,2.7456178722539426,5027.30303030303,22.0
Small Animals,Houses & Habitats,38,28,58.40676470588235,4.352631578947369,159244,2.337580097736727,5687.285714285715,23.0
Fish & Aquatic Pets,Aquarium Décor,25,23,13.45,4.084,23411,2.2860541574102067,1017.8695652173913,24.0
Fish & Aquatic Pets,Aquarium Pumps & Filters,42,25,24.029473684210526,4.392857142857143,174324,2.0714781513076868,6972.96,25.0
Birds,Birdcage Accessories,26,21,20.13909090909091,4.288461538461538,27789,2.0522981222339793,1323.2857142857142,26.0
Birds,Toys,17,16,15.946153846153846,4.341176470588235,9309,1.7507684070043252,581.8125,27.0
Horses,Health Supplies,15,14,44.36000000000001,4.513333333333334,16397,1.4425680696287155,1171.2142857142858,28.0
Birds,Food,24,15,47.67733333333333,4.608333333333333,43268,1.405126988842144,2884.5333333333333,29.0
Cats,Carriers & Strollers,16,15,61.16692307692308,4.35625,58327,1.3668873770877161,3888.4666666666667,30.0
Fish & Aquatic Pets,Food,25,14,15.534545454545453,4.5680000000000005,61104,1.270377193310476,4364.571428571428,31.0
Dogs,Flea & Tick Control,18,15,28.520666666666667,4.311111111111111,230391,1.2148171259449898,15359.4,32.0
Dogs,"Doors, Gates & Ramps",20,12,46.638888888888886,4.29,102109,1.0404197937586734,8509.083333333334,33.0
