animal_type,product_type,product_count,brand_count,avg_price,avg_rating,total_rating_number,opportunity_score,opportunity_rank
Reptiles & Amphibians,Terrarium Covers,1,1,29.99,4.7,13828,9.534523115464658,1.0
Fish & Aquatic Pets,Medication & Health Supplies,1,1,15.5,4.6,2484,7.818027938530729,2.0
Fish & Aquatic Pets,Aquarium Test Kits,2,2,29.62,4.7,43941,7.559414041806463,3.0
Horses,Treats,1,1,39.95,4.3,1435,7.269616749608169,4.0
Reptiles & Amphibians,Habitat Lighting,4,2,11.99,4.4,10631,6.55602792044718,5.0
Fish & Aquatic Pets,Automatic Feeders,2,2,15.225,4.25,6507,6.208954363020313,6.0
Reptiles & Amphibians,Health Supplies,1,1,9.47,4.5,448,6.1070228877422545,7.0
Small Animals,Treats,5,3,11.982,4.66,17484,5.640191735027377,8.0
Horses,Horse Blankets & Sheets,1,1,,4.4,254,5.541263545158426,9.0
Reptiles & Amphibians,Food,4,3,10.69,4.375,8790,5.243197087617791,10.0
Fish & Aquatic Pets,Aquarium Cleaners,5,4,6.758,4.54,30680,5.165699424737062,11.0
Cats,Flea & Tick Control,8,6,40.098571428571425,4.2375,175577,4.929940491963613,12.0
Cats,Repellents & Training Aids,4,4,14.83,3.75,18364,4.909100979126884,13.0
Small Animals,"Collars, Harnesses & Leashes",4,4,17.990000000000002,3.825,16086,4.842883385695154,14.0
Small Animals,Carriers,2,2,17.735,3.6,933,4.83624016923723,15.0
Reptiles & Amphibians,Habitat Décor,4,4,23.095000000000002,4.4,13578,4.758139880349398,16.0
Fish & Aquatic Pets,Aquarium Thermometers,3,3,13.943333333333333,4.233333333333333,3440,4.7016619663875785,17.0
Birds,Health Supplies,4,4,42.949999999999996,4.5249999999999995,9063,4.556032901353921,18.0
Small Animals,Exercise Wheels,4,4,32.99,4.4,8580,4.528652867903561,19.0
Dogs,Memorials & Funerary,2,2,13.469999999999999,4.65,493,4.38585492475399,20.0
Horses,Farrier Supplies,1,1,45.99,4.0,76,4.343805421853684,21.0
Fish & Aquatic Pets,Aquarium Water Treatments,18,7,17.01058823529412,4.538888888888889,88651,4.30595038325635,22.0
Fish & Aquatic Pets,Aquarium Stands,2,2,237.825,4.300000000000001,343,4.129957322409365,23.0
Cats,"Cat Doors, Steps, Nets & Pens",11,7,71.37111111111112,4.427272727272728,40433,4.009230289261799,24.0
Small Animals,Food,11,7,22.80125,4.527272727272727,37043,3.976133973853047,25.0
Fish & Aquatic Pets,Aquarium Substrate,4,4,16.786666666666665,4.425,2838,3.975603578236486,26.0
Reptiles & Amphibians,"Terrarium Bedding, Sand & Substrate",5,5,14.382,4.44,6447,3.9227453603598192,27.0
Birds,Treats,7,7,31.986666666666665,4.571428571428571,31830,3.9188097132655306,28.0
Small Animals,Feeding & Watering Supplies,8,6,17.63375,4.2375,10678,3.786925216772641,29.0
Fish & Aquatic Pets,Aquarium Heaters & Chillers,9,8,24.95375,4.344444444444445,32506,3.6731406790880485,30.0
Small Animals,Toys,9,8,10.66625,4.4,26104,3.5955963145973757,31.0
