animal_type,product_type,product_count,brand_count,avg_price,avg_rating,total_rating_number,total_review_count,demand_proxy,demand_per_brand,competition_score,competition_tier,gap_score,gap_rank,opportunity_score,opportunity_rank
Reptiles & Amphibians,Terrarium Covers,1,1,29.99,4.7,13828,6,13828,13828.0,0.10488201537610575,Low,47.23146129531805,1.0,44.812258642683894,2.0
Horses,Treats,1,1,39.95,4.3,1435,1,1435,1435.0,0.1375588334906238,Low,38.93455193569015,2.0,31.259352023315127,56.0
Fish & Aquatic Pets,Aquarium Test Kits,2,2,29.62,4.7,43941,9,43941,21970.5,0.1870797861516714,Low,33.29620158088688,3.0,46.98825675845137,1.0
Fish & Aquatic Pets,Medication & Health Supplies,1,1,15.5,4.6,2484,1,2484,2484.0,0.12790949429478934,Low,31.619186219573773,4.0,35.96292851724135,37.0
Fish & Aquatic Pets,Aquarium Stands,2,2,237.825,4.300000000000001,343,2,343,171.5,0.3424281298742478,Low,29.111073396364027,5.0,22.14670811682709,69.0
Horses,Horse Blankets & Sheets,1,1,,4.4,254,1,254,254.0,0.18046425546276915,Low,25.977211543707757,6.0,24.381559598697077,67.0
Horses,Farrier Supplies,1,1,45.99,4.0,76,1,76,76.0,0.2302128900546512,Low,24.126719669380098,7.0,17.375221687414736,73.0
Cats,Flea & Tick Control,8,6,40.098571428571425,4.2375,175577,50,175577,29262.833333333332,0.49685990059639396,Medium,23.060414603443096,8.0,43.57890627423069,3.0
Fish & Aquatic Pets,Automatic Feeders,2,2,15.225,4.25,6507,5,6507,3253.5,0.2277700043659458,Low,22.271853519565344,9.0,34.37312421530288,46.0
Cats,"Cat Doors, Steps, Nets & Pens",11,7,71.37111111111112,4.427272727272728,40433,27,40433,5776.142857142857,0.6599150261213208,Medium,21.841900043975425,10.0,38.347551120241086,23.0
Reptiles & Amphibians,Habitat Lighting,4,2,11.99,4.4,10631,4,10631,5315.5,0.21571194929820142,Low,21.64012771296246,11.0,37.74571007280102,26.0
Birds,Health Supplies,4,4,42.949999999999996,4.5249999999999995,9063,5,9063,2265.75,0.43897839267263805,Low,21.41830025245003,12.0,34.960613208530894,44.0
Reptiles & Amphibians,Health Supplies,1,1,9.47,4.5,448,1,448,448.0,0.16374590670147243,Low,20.69175105142104,13.0,27.481602994840145,65.0
Reptiles & Amphibians,Terrariums,5,5,203.4625,4.3,1004,6,1004,200.8,0.7233018976457863,Medium,20.526443962478602,14.0,22.821291564053887,68.0
Small Animals,Exercise Wheels,4,4,32.99,4.4,8580,5,8580,2145.0,0.4416324364746145,Low,19.843363235148672,15.0,33.753988062038836,47.0
Birds,Birdcages,10,10,116.12333333333335,4.35,21297,16,21297,2129.7,1.0033745039220108,High,19.79739520884629,16.0,33.33929541796924,48.0
Fish & Aquatic Pets,Aquariums & Fish Bowls,8,8,100.70428571428572,4.025,11631,12,11631,1453.875,0.8545625178490047,Medium,19.692831488681964,17.0,29.312767942680118,60.0
Reptiles & Amphibians,Habitat Décor,4,4,23.095000000000002,4.4,13578,8,13578,3394.5,0.42033232529791387,Low,18.814545973657566,18.0,35.77290774003693,38.0
Fish & Aquatic Pets,Aquarium Lights,10,8,67.40571428571428,4.220000000000001,14768,14,14768,1846.0,0.8333085364647663,Medium,18.462194800586296,19.0,31.7399618764408,53.0
Small Animals,Carriers,2,2,17.735,3.6,933,3,933,466.5,0.2924200438532283,Low,18.243339384891463,20.0,22.13063765542347,70.0
Small Animals,Treats,5,3,11.982,4.66,17484,29,17484,5828.0,0.3070907672893978,Low,18.06521629820192,21.0,40.40499943929227,10.0
Small Animals,"Collars, Harnesses & Leashes",4,4,17.990000000000002,3.825,16086,4,16086,4021.5,0.41297711316105074,Low,17.716775459637034,22.0,31.74619521166451,52.0
Birds,Treats,7,7,31.986666666666665,4.571428571428571,31830,17,31830,4547.142857142857,0.6751415620177932,Medium,17.431740565066328,23.0,38.50273949878121,22.0
Dogs,"Doors, Gates & Ramps",20,12,46.638888888888886,4.29,102109,53,102109,8509.083333333334,1.0404197937586734,High,17.373669590740203,24.0,38.82024008971925,19.0
Horses,Boots & Wraps,2,2,71.97,4.0,79,2,79,39.5,0.4564098228373374,Low,17.111684019020053,25.0,14.805207896449973,74.0
Cats,Repellents & Training Aids,4,4,14.83,3.75,18364,9,18364,4591.0,0.40740657169283023,Low,16.84871424257588,26.0,31.62026601749776,55.0
Cats,Carriers & Strollers,16,15,61.16692307692308,4.35625,58327,36,58327,3888.4666666666667,1.3668873770877161,High,16.345737503354687,27.0,36.00888152811999,35.0
Reptiles & Amphibians,Food,4,3,10.69,4.375,8790,5,8790,2930.0,0.33034249497491663,Low,16.106933313376512,28.0,34.926057865610154,45.0
Small Animals,Food,11,7,22.80125,4.527272727272727,37043,26,37043,5291.857142857143,0.6654079888814064,Medium,16.035654617160333,29.0,38.81735012610111,20.0
Fish & Aquatic Pets,Aquarium Thermometers,3,3,13.943333333333333,4.233333333333333,3440,4,3440,1146.6666666666667,0.3683911816611652,Low,15.885681937182833,30.0,29.82589147277142,58.0
Fish & Aquatic Pets,Aquarium Water Treatments,18,7,17.01058823529412,4.538888888888889,88651,38,88651,12664.42857142857,0.6144407333053746,Medium,15.838475646793006,31.0,42.87721030298396,4.0
Fish & Aquatic Pets,Aquarium Heaters & Chillers,9,8,24.95375,4.344444444444445,32506,13,32506,4063.25,0.7700296209314857,Medium,15.396948767083257,32.0,36.10226600797449,34.0
Dogs,Memorials & Funerary,2,2,13.469999999999999,4.65,493,2,493,246.5,0.3224487783194107,Low,15.085991683757408,33.0,25.628059206340666,66.0
Dogs,Flea & Tick Control,18,15,28.520666666666667,4.311111111111111,230391,92,230391,15359.4,1.2148171259449898,High,15.075273346104463,34.0,41.55716269594833,7.0
Birds,Food,24,15,47.67733333333333,4.608333333333333,43268,54,43268,2884.5333333333333,1.405126988842144,High,14.959088062377184,35.0,36.716734661931426,32.0
Small Animals,Houses & Habitats,38,28,58.40676470588235,4.352631578947369,159244,87,159244,5687.285714285715,2.337580097736727,High,14.5291225519948,36.0,37.633567339274855,27.0
Dogs,"Crates, Houses & Pens",67,52,76.92314814814816,4.308955223880597,509513,273,509513,9798.326923076924,3.957016871003757,Very High,14.416945669341468,37.0,39.59959574342246,11.0
Fish & Aquatic Pets,Aquarium Substrate,4,4,16.786666666666665,4.425,2838,7,2838,709.5,0.5030682664007381,Low,14.220582856614572,38.0,29.05441259285191,61.0
Small Animals,Feeding & Watering Supplies,8,6,17.63375,4.2375,10678,12,10678,1779.6666666666667,0.6468281264003214,Medium,13.943174033245453,39.0,31.71659890744511,54.0
Horses,Health Supplies,15,14,44.36000000000001,4.513333333333334,16397,17,16397,1171.2142857142858,1.4425680696287155,High,13.67059775167398,40.0,31.894146057003855,50.0
Reptiles & Amphibians,"Terrarium Bedding, Sand & Substrate",5,5,14.382,4.44,6447,8,6447,1289.4,0.5700262882459144,Medium,13.380320142500102,41.0,31.80242141904084,51.0
Reptiles & Amphibians,Terrarium Heat Lamps & Mats,9,9,27.61375,4.222222222222222,9317,9,9317,1035.2222222222222,0.9847146796884242,High,13.312661297533491,42.0,29.316311355690864,59.0
Fish & Aquatic Pets,Aquarium Cleaners,5,4,6.758,4.54,30680,13,30680,7670.0,0.3871692554201993,Low,13.151293685649573,43.0,40.61121827837521,9.0
Horses,Stable Supplies,4,4,27.11,4.425,480,7,480,120.0,0.6476823132780022,Low,12.801654176597761,44.0,21.22137316426558,71.0
Fish & Aquatic Pets,Aquarium Pumps & Filters,42,25,24.029473684210526,4.392857142857143,174324,82,174324,6972.96,2.0714781513076868,High,11.927759357031603,45.0,38.87651551680241,18.0
Horses,Grooming & Bathing Supplies,3,3,19.343333333333334,4.566666666666666,209,3,209,69.66666666666667,0.5610509949100394,Low,11.620559157749389,46.0,19.444747869417824,72.0
