parent_asin,product_title,brand,category_l2,category_l3,price,average_rating,rating_number,review_count,reviews_per_month,rating_number_per_month,value_score,success_probability,success_score,success_tier,success_rank
B079D3NTNF,"Amazon Basics Dog Poop Bags with Dispenser and Leash Clip, 13 x 9 Inches, Talcum Powder Scented - 270 Bags (18 Rolls)",Amazon Basics,Dogs,Litter & Housebreaking,12.37,4.8,71369,5,0.0930317848410758,1327.9170904645478,4.33654307853133,0.6685729653799148,66.85729653799149,Very High,1.0
B00QCVQR3A,"Amazon Basics Dog Poop Bags With Dispenser and Leash Clip, Unscented, Standard, 600 Count, 40 Pack of 15, Black, 13 Inch x 9 Inch",Amazon Basics,Dogs,Litter & Housebreaking,15.03,4.8,175000,32,0.3486327845382963,1906.5855404438082,3.8555040214531067,0.6654434007300745,66.54434007300745,Very High,2.0
B09HS4R77C,Outward Hound Squeakin' Racoon Hide A Puzzle Plush Replacement Dog Toys - 3 Pack,Outward Hound,Dogs,Toys,10.99,4.6,59703,66,0.43789014821272887,396.1114472537053,4.60299451997558,0.6633821094159084,66.33821094159083,Very High,3.0
B0BJ18G8Y3,"Chuckit Ultra Ball Dog Toy, XXL (4 Inch Diameter), Pack of 1, for breeds 100+ lbs",Chuckit!,Dogs,Toys,15.42,4.8,132257,39,0.3549058295964126,1203.5584693572498,3.6708201834659584,0.66168117096581,66.168117096581,Very High,4.0
B0BR9V6F2T,"Voyager Step-In Air Dog Harness - All Weather Mesh Step in Vest Harness for Small and Medium Dogs by Best Pet Supplies - Pink Base, M",Best Pet Supplies,Dogs,"Collars, Harnesses & Leashes",14.99,4.6,75001,32,0.39293263412666396,920.9481403791851,3.4447126264587054,0.6596257272215217,65.96257272215217,Very High,5.0
B0BGK4DG3Z,"Purina Pro Plan Small Breed Dog Food With Probiotics for Dogs, Shredded Blend Chicken & Rice Formula - 6 lb. Bag",Purina Pro Plan,Dogs,Food,20.68,4.7,14002,12,0.18164097463948284,211.94474390850323,2.1697788343990405,0.6592959856570852,65.92959856570853,Very High,6.0
B0C3HYS7DQ,"Amazon Basics Dog and Puppy Pee Pads with Leak-Proof Quick-Dry Design for Potty Training, Standard Absorbency, Regular Size, 22 x 22 Inches - Pack of 50",Amazon Basics,Dogs,Litter & Housebreaking,24.18,4.5,178175,67,0.7211739745403112,1917.8384016973127,2.2500980964294013,0.6586616515819,65.86616515819,Very High,7.0
B0C1PB7WKC,"Voyager Step-in Air Dog Harness - All Weather Mesh Step in Vest Harness for Small and Medium Dogs by Best Pet Supplies - Harness (Blue/Black Trim), XX-Small",Best Pet Supplies,Dogs,"Collars, Harnesses & Leashes",12.74,4.6,47226,9,0.3074747474747475,1613.4224915824918,3.8860688220443853,0.6575133264997365,65.75133264997365,Very High,8.0
B09DGC262H,"Chuckit! Air Fetch Ball Dog Toy, Medium, Pack of 2",Chuckit!,Dogs,Toys,11.05,4.5,13977,5,0.09081145584725536,253.85434367541765,3.8872017871644196,0.6571296276344099,65.71296276344098,Very High,9.0
B004T5X0N6,"Chuckit! Indoor Ball , Soft Dog Toy (4.75 Inch)",Chuckit!,Dogs,Toys,10.95,4.4,20901,24,0.21723461195361285,189.18419268510257,3.997209183514117,0.657094881032839,65.7094881032839,Very High,10.0
B017UQCB3A,"GoTags Stainless Steel Pet ID Tags, Personalized Dog Tags and Cat Tags, up to 8 Lines of Custom Text, Engraved on Both Sides, in Bone, Round, Heart, Bow Tie and More",GoTags,Dogs,"Collars, Harnesses & Leashes",8.95,4.7,116226,42,0.4603817068779258,1274.0077205617572,6.124861691143969,0.6569421835904594,65.69421835904595,Very High,11.0
B0C5MWR9TW,Nylabone Power Chew Durable Dog Toy Bacon X-Small/Petite (1 Count),Nylabone,Dogs,Toys,4.29,4.5,51734,59,0.4953006067291782,434.3030777716492,11.385199105635369,0.6565249060529517,65.65249060529517,Very High,12.0
B09Y2Q7FMT,"SmartyKat (3 Count Fish Friends Crinkle Catnip Cat Toys - Multi Color, 3 Count",SmartyKat,Cats,Toys,9.99,4.6,10594,10,0.16021052631578947,169.72703157894736,4.267610847370474,0.6548107862213126,65.48107862213126,Very High,13.0
B08P1PGH71,"Multipet INTERNATIONAL Lambchop Plush Squeak Toy Mini for Pets, 6-Inch",Multipet,Dogs,Toys,4.49,4.5,56732,39,0.39611611611611613,576.2169102435769,10.970490198102276,0.6529385592276591,65.29385592276591,Very High,14.0
B0BFK5YRHV,"Purina Pro Plan Grain Free Wet Dog Food Variety Pack, Classic Entrees - (12) 13 oz. Cans",Purina Pro Plan,Dogs,Food,32.4,4.6,10431,46,0.4686211512717537,106.26493975903615,1.313645466270543,0.6526292429705355,65.26292429705354,Very High,15.0
B0744KM2M6,"Amazon Basics Dog and Puppy Pee Pads with Leak-Proof Quick-Dry Design for Potty Training, Heavy Duty Absorbency, X-Large, 28 x 34 Inches, Pack of 50, Blue & White",Amazon Basics,Dogs,Litter & Housebreaking,34.09,4.6,34446,13,0.2627622841965471,696.239203187251,1.4097100344276308,0.6525243527239878,65.25243527239878,Very High,16.0
B0C66BC9CT,"Four Paws Wee-Wee Superior Performance Pee Pads for Dogs - Dog & Puppy Pads for Potty Training - Dog Housebreaking & Puppy Supplies - 22"" x 23"" (7 Count)",Four Paws,Dogs,Litter & Housebreaking,7.49,4.6,29780,33,0.28432493631474665,256.58171525615626,6.3267662312664905,0.6519200050719629,65.1920005071963,Very High,17.0
B0972DL6SY,API TURTLE FIX Turtle Remedy 8-Ounce Bottle,API,Fish & Aquatic Pets,Aquarium Water Treatments,5.48,4.6,10291,4,0.13263616557734204,341.23969498910674,7.755467517818889,0.6512423328879833,65.12423328879832,Very High,18.0
B0C2WK4WTH,"ZippyPaws Burrow, Food Buddies Milk & Cookies - Interactive Dog Toys for Boredom - Hide and Seek Dog Toys, Colorful Squeaky Dog Toys for Small & Medium Dogs, Plush Dog Puzzles",ZippyPaws,Dogs,Toys,11.99,4.7,11852,4,0.10794326241134751,319.8358865248227,3.6770292336675277,0.6512159350485989,65.12159350485989,Very High,19.0
B0C2JN4KLD,"Earth Rated Dog Poop Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count",Earth Rated,Dogs,Litter & Housebreaking,13.74,4.8,205050,38,0.3451865114891078,1862.6445837063566,4.272843321455936,0.6499774949688186,64.99774949688187,Very High,20.0
B098C6DXY1,"Coolaroo The Original Elevated Pet Bed Replacement Cover, Medium, Gunmetal",Coolaroo,Dogs,Beds & Furniture,9.02,4.7,13419,8,0.14608278344331135,245.03560887822437,4.952456389076571,0.6497928859232005,64.97928859232005,Very High,21.0
B09GT88YW7,"Amazon Basics Pet Carrier Kennel With Metal Wire Ventilation, 23-Inch",Amazon Basics,Dogs,Carriers & Travel Products,54.99,4.6,50330,11,0.2384900284900285,1091.200284900285,0.9056434216187879,0.6484427317568368,64.84427317568368,Very High,22.0
B07FVT9C7T,AmazonBasics Padded Pet Bolster Bed - 35 x 22 inches,Amazon Basics,Dogs,Beds & Furniture,29.99,4.5,8463,7,0.1592526158445441,192.53641255605382,1.3569889027489617,0.6483337409996892,64.83337409996892,Very High,23.0
B0BQ5Y2CP8,ZippyPaws - Birthday Cupcake Squeaky Plush Dog Toy with Soft Stuffing - Pink Cupcake,ZippyPaws,Dogs,Toys,9.99,4.7,9356,4,0.2070748299319728,484.34802721088437,4.301925528007686,0.6482670954075016,64.82670954075016,Very High,24.0
B076HR381S,KONG Flyer - Durable Rubber Dog Flying Disc Toy - for Small Dogs,KONG,Dogs,Toys,11.99,4.5,27882,8,0.07058550724637681,246.00813913043478,3.841616020347165,0.6480631889251077,64.80631889251077,Very High,25.0
B0B6TLD3TS,"Purina Pro Plan Sensitive Skin and Sensitive Stomach Dog Food With Probiotics for Dogs, Lamb & Oat Meal Formula - 24 lb. Bag",Purina Pro Plan,Dogs,Food,71.98,4.6,6603,5,0.08367234744365036,110.49770203408467,0.5620864365543773,0.6480434030760392,64.80434030760392,Very High,26.0
B076PQMLFK,"Amazon Basics Foldable Metal Exercise Pet Play Pen for Dogs, Fence Pen, Single Door, 60 x 60 x 24 Inches",Amazon Basics,Dogs,"Crates, Houses & Pens",39.96,4.6,59922,5,0.18651960784313726,2235.325588235294,1.2663601637885382,0.6480187254028711,64.8018725402871,Very High,27.0
B07QS5N1D8,"Benebone Wishbone Durable Dog Chew Toy for Aggressive Chewers, Real Peanut, Made in USA, Medium",Benebone,Dogs,Toys,12.52,4.5,84140,38,0.39928201587849504,884.0944425267519,4.075968178045041,0.6479883340581742,64.79883340581742,Very High,28.0
B081THH2Q5,"TOMLYN Nutri-Cal High Calorie Nutritional Gel for Dogs & Puppies, 4.25oz",TOMLYN,Dogs,Health Supplies,10.19,4.7,12499,10,0.10396174863387979,129.94178961748634,4.351067167759062,0.6475891410759431,64.75891410759431,Very High,29.0
B0BGBT3Y2W,"Purina Fancy Feast Gravy, Grain Free Wet Cat Food Complement, Appetizers White Meat Chicken & Shredded Beef - (10) 1.1 oz. Trays",Purina Fancy Feast,Cats,Food,12.5,4.7,7532,24,0.2831627906976744,88.86592248062016,3.3565702915824613,0.6467082319474584,64.67082319474584,Very High,30.0
B0C5MXJ88Y,Nylabone Teething Puppy Chew Toys Made with Puppy-Friendly Materials l Promotes Positive Chewing Habits for Puppies,Nylabone,Dogs,Toys,8.65,4.3,66565,77,0.6982067322013703,603.5861185582365,5.520876488711142,0.6465351068904645,64.65351068904644,Very High,31.0
B07SH1F28S,"BV Pet Tie Out Cable for Dogs Up to 90/125/ 250 Pounds, 25/30 Feet (60lbs/ 15ft/ Blue)",BV,Dogs,Training & Behavior Aids,8.99,4.6,30924,22,0.3489734236581553,490.5297342365816,5.290419678242399,0.6464006641964329,64.64006641964329,Very High,32.0
B089PSZ856,"Virbac CET Enzymatic Toothpaste, Eliminates Bad Breath by Removing Plaque and Tartar Buildup, Best Pet Dental Care Toothpaste, Vanilla Mint Flavor, 2.5 Oz Tube",Virbac,Dogs,Health Supplies,10.92,4.6,28435,20,0.17077138849929874,242.79422159887798,4.320045022383435,0.6463732351028649,64.63732351028649,Very High,33.0
B09VYMLMMQ,"goDog Bubble Plush Dragons Squeaky Dog Toy, Chew Guard Technology - Purple, Small",goDog,Dogs,Toys,7.99,4.3,34464,24,0.2523523316062176,362.3779481865285,5.62266686606695,0.6462036663242183,64.62036663242183,Very High,34.0
