parent_asin,product_title,brand,category_l2,category_l3,price,average_rating,rating_number,review_count,first_review_date,last_review_date,lifespan_days,lifespan_months,reviews_per_month,reviews_per_day,rating_number_per_month,velocity_score,velocity_tier
B0BM6V2SH8,Purina Busy Made in USA Facilities Small Breed Dog Bones; Mini - (8) 4 ct. Pouches,Busy,Dogs,Treats,26.74,4.7,13024,1450,2009-08-15 13:57:54.000,2023-03-16 19:03:36.901,4961,162.97634691195793,8.896996573271519,0.2922797823019552,79.91343680709535,84.29571386836177,Very High
B083GGXRGQ,Inception® Wet Dog Food Chicken Recipe – Complete and Balanced Dog Food – Meat First Legume Free Wet Dog Food – 12/13oz case,Inception,Dogs,Food,39.48,4.2,286,10,2020-07-14 20:40:28.751,2020-08-01 19:33:23.983,17,1.0,10.0,0.5882352941176471,286.0,56.59482215759621,Very High
B09PJBRKXY,"Bone Dry Squeaky Plush Pet Toy Collection, Plush, Squirrel & Raccoon, 2, Piece",Bone Dry,Dogs,Toys,17.99,4.4,797,6,2017-09-02 22:35:00.198,2017-09-11 20:21:49.778,8,1.0,6.0,0.75,797.0,40.09265158469886,Very High
B07CKVYKDB,"MarineLand Magnum Polishing Internal Canister Filter, For aquariums Up To 97 Gallons, 10.5 IN (ML90770)",MarineLand,Fish & Aquatic Pets,Aquarium Pumps & Filters,66.99,4.2,3131,4,2016-05-05 19:38:36.000,2016-06-02 13:13:33.000,27,1.0,4.0,0.14814814814814814,3131.0,32.19770822844278,Very High
B07YQFP5DK,"Nulo Frontrunner Dry Dog Food for Adult Dogs - Grain Inclusive Recipe with Beef, Barley, & Lamb - All Natural Pet Foods with High Taurine Levels - Animal Protein for Lean Strong Muscles",Nulo,Cats,Food,,4.6,580,5,2019-12-16 15:45:35.862,2020-01-10 23:44:24.224,25,1.0,5.0,0.2,580.0,31.823753784259555,Very High
B07N3MVBV4,"Honest To Dog Made in USA Facilities, Limited Ingredient, Grain Free Dog Treats, Crispy Cuts Beef Recipe - 16 oz. Pouch",Purina Honest to Dog,Dogs,Treats,,4.4,775,8,2018-08-21 00:40:14.409,2018-10-13 17:30:14.665,53,1.7411300919842312,4.594716981132076,0.1509433962264151,445.11320754716985,30.573947579528635,Very High
B09VGZDB3X,PuppyDoggy Dog Poop Bag Holder for Leash Waste Bag Carrier Dog Poop Bag Dispenser for Walking Running Bicycle Accessory 2 Pieces (Black + Blue),PuppyDoggy,Dogs,Litter & Housebreaking,6.99,4.7,1207,4,2022-08-02 21:53:26.691,2022-08-05 18:57:58.783,2,1.0,4.0,2.0,1207.0,28.386885513979042,Very High
B07RM55ZYG,"""I and love and you"" Baked & Saucy Grain Free Kibble Dry Dog Food with Gravy Coating (Variety of Flavors)",I AND LOVE AND YOU,Dogs,Food,17.99,4.4,1065,4,2019-05-01 22:52:31.120,2019-05-16 03:14:09.262,14,1.0,4.0,0.2857142857142857,1065.0,27.88667441890316,Very High
B0BP2CM998,Texsens Innovative Traveler Bubble Backpack Pet Carriers for Cats and Dogs (Black),Texsens,Dogs,Carriers & Travel Products,21.24,4.7,9553,3,2022-05-07 19:19:52.569,2022-05-17 19:33:00.895,10,1.0,3.0,0.3,9553.0,27.494145581849722,Very High
B0758MDXHY,"Amazon Basics Padded Handle Dog Leash, 4-Foot, Black",Amazon Basics,Dogs,"Collars, Harnesses & Leashes",20.59,4.6,7719,3,2018-01-17 17:40:36.101,2018-01-25 05:20:43.637,7,1.0,3.0,0.42857142857142855,7719.0,26.854708929056464,Very High
