parent_asin,product_title,brand,main_category,category_l1,category_l2,category_l3,price,price_missing,average_rating,rating_number,demand_proxy,review_count,avg_review_rating,avg_helpful_vote,total_helpful_vote,verified_purchase_ratio,avg_review_text_length,first_review_date,last_review_date,weighted_rating_signal,value_score
B09ZTMTS6N,Cat Window Perch Durable Cat Hammock Seat for Indoor Cats Reversible Mat Use Year-Around Foldable Cat Bed Providing All-Around Sunbath Saving Space Washable Holds Up to 40 lbs (Brown),Mewoo,Pet Supplies,Pet Supplies,Cats,Beds & Furniture,23.99,False,4.4,130,130,1,5.0,0.0,0,0.0,198.0,2022-10-01 04:19:46.812,2022-10-01 04:19:46.812,21.450868222085067,0.8941587420627373
B081W4G8K7,"PetSafe Exterior / Interior Cat Door: Staywell Big Cat 4-Way Locking Pet Door Flap for Large Cats- Tinted Privacy Door- Weatherproof, Durable Door Frame- DIY Easy Install with Hardware Kit Included",PetSafe,Pet Supplies,Pet Supplies,Cats,"Cat Doors, Steps, Nets & Pens",26.95,False,4.5,2341,2341,1,1.0,3.0,3,0.0,935.0,2011-03-20 16:03:55.000,2011-03-20 16:03:55.000,34.91442244870948,1.2955258793584223
B0843HPZKY,"ASPCA Cat House & Cat Scratcher w/Bonus Catnip Included, Adoption Truck cat House (CAS2030)",ASPCA,Pet Supplies,Pet Supplies,Cats,Beds & Furniture,21.99,False,4.7,9248,9248,3,5.0,4.666666666666667,14,1.0,1175.3333333333333,2020-07-09 17:55:26.210,2021-06-20 18:18:12.025,42.92167236780502,1.9518723223194645
B07PFF6H6M,"iPrimio 100% Natural Wool Eco-Friendly Cat & Kitten Cave Bed - Cozy House Indoor Bed for Cats & Kittens - Pet Felt Cat Cave, Cushion, Cove, Nest, Hideout, Hideaway, Tent, Tunnel Beds (Furry Pink)",iPrimio,Pet Supplies,Pet Supplies,Cats,Beds & Furniture,29.99,False,4.6,1460,1460,1,4.0,0.0,0,1.0,275.0,2019-10-03 22:48:05.875,2019-10-03 22:48:05.875,33.519631494053215,1.1176936143398872
B00QYXA9DU,Zoo Med 26389 Repti Giant Hammock,Zoo Med,Pet Supplies,Pet Supplies,Reptiles & Amphibians,Terrariums,14.98,False,4.5,228,228,1,5.0,0.0,0,1.0,236.0,2015-10-23 01:08:21.000,2015-10-23 01:08:21.000,24.45174901599408,1.6322929917219011
B07MPJS66S,"Sparky Pet Co 3/4"" Solid Nylon Compatible with Petsafe Replacement Strap Compatible with Petsafe Free to Roam Wireless Fence Receiver Collar (PIF00-15001,PIF00-15002) (Purple)",Sparky Pet Co,Pet Supplies,Pet Supplies,Top Dog Supplies,,18.99,False,4.5,93,93,1,4.0,0.0,0,1.0,475.0,2019-01-29 22:38:17.678,2019-01-29 22:38:17.678,20.444826520215017,1.0766101379786739
B0BY8VXW1R,"BUUOC Dog Training Collar with Remote 2000Ft, Electric Dog Shock Collar with 3 Safe Training Modes, Beep, Vibration and Shock (White)",BUUOC,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",35.99,False,4.5,2208,2208,1,5.0,0.0,0,1.0,225.0,2022-09-22 23:25:39.974,2022-09-22 23:25:39.974,34.65132841539052,0.9628043460792032
B07R9P7N2Q,"Bolux Over Head Dog Harness, Easy On and Off Pet Vest Harness, Reflective Breathable and Easy Adjust Pet Halters with Nylon Handle for Small Medium Large Dogs, Pink, L",Bolux,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",19.99,False,4.1,5391,5391,3,3.0,0.0,0,0.6666666666666666,91.33333333333333,2020-03-22 03:59:28.963,2022-06-14 16:35:32.668,35.229953775627784,1.7623788782204997
B09TVRY5VV,"Ihoming Dog Collar and Leash Set for Daily Outdoor Walking Running Training, Splicing Design for Medium Boys Girls Dogs Cats Pets, M-Up to 45LBS",Ihoming,Pet Supplies,Pet Supplies,Dogs,"Collars, Harnesses & Leashes",13.97,False,4.6,4687,4687,4,4.5,0.0,0,1.0,163.0,2019-06-15 20:29:45.833,2020-06-25 00:55:28.638,38.8827021237815,2.783300080442484
B07BNY6ZC9,"Downtown Pet Supply Thermal Cat Bed - Insulated Cat Mat with Aluminum Film & Sherpa Backing - Washer Safe Faux Fur Cover - Self-Warming Nap - Connectable, Regular - Animal Print Beige - 23 x 19in",Downtown Pet Supply,Pet Supplies,Pet Supplies,Cats,Beds & Furniture,11.99,False,4.5,2630,2630,4,2.5,0.75,3,0.75,299.5,2014-03-16 12:04:18.000,2023-01-11 17:33:27.921,35.43803676468132,2.9556327576881833
